program,rewrite_id,dataset,variant,run,relation,rel_runtime_ms,rel_load_ms,rel_save_ms,rel_num_tuples,rel_source
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,13,result_bounded_negation,1586.202,,65.47,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,T1,284.239,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,T2,433.485,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,edge,,297.32,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,14,result_bounded_negation,1596.363,,64.054,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,T1,285.157,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,T2,418.362,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,edge,,297.509,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,15,result_bounded_negation,1612.87,,69.354,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,T1,328.856,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,T2,457.726,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,edge,,302.777,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,16,result_bounded_negation,1664.805,,65.298,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,T1,288.494,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,T2,405.501,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,edge,,297.19,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,17,result_bounded_negation,1574.296,,63.83,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,T1,285.162,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,T2,453.332,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,edge,,293.553,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,18,result_bounded_negation,1639.292,,62.653,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,T1,289.319,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,T2,422.676,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,edge,,296.091,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,19,result_bounded_negation,1594.339,,64.709,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,T1,320.819,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,T2,412.503,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,edge,,304.869,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,2,result_bounded_negation,1596.996,,64.138,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,20,T1,295.92,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,20,T2,432.274,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,20,edge,,301.445,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,20,result_bounded_negation,1620.967,,63.635,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,T1,286.154,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,T2,412.518,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,edge,,282.251,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,21,result_bounded_negation,1577.001,,64.071,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,T1,282.627,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,T2,412.132,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,edge,,292.462,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,22,result_bounded_negation,1579.463,,63.851,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,T1,324.253,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,T2,431.822,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,edge,,299.718,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,23,result_bounded_negation,1627.763,,65.288,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,T1,294.027,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,T2,419.151,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,edge,,299.956,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,24,result_bounded_negation,1612.821,,65.449,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,T1,295.321,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,T2,414.566,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,edge,,293.086,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,25,result_bounded_negation,1605.108,,63.655,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,T1,287.464,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,T2,417.177,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,edge,,304.571,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,26,result_bounded_negation,1629.918,,65.037,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,T1,315.834,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,T2,449.873,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,edge,,303.64,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,27,result_bounded_negation,1755.05,,76.781,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,T1,326.378,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,T2,448.825,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,edge,,318.574,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,28,result_bounded_negation,1682.225,,64.064,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,T1,296.799,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,T2,419.051,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,edge,,306.294,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,29,result_bounded_negation,1622.819,,79.634,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,3,T1,290.141,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,3,T2,418.444,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,3,edge,,301.829,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,3,result_bounded_negation,1753.755,,66.288,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,30,T1,297.278,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,30,T2,427.413,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,30,edge,,304.213,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,30,result_bounded_negation,1627.711,,65.962,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,4,T1,291.253,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,4,T2,421.565,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,4,edge,,296.576,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,4,result_bounded_negation,1624.707,,64.638,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,5,T1,300.326,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,5,T2,432.846,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,5,edge,,303.369,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,5,result_bounded_negation,1630.783,,64.88,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,6,T1,299.398,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,6,T2,456.248,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,6,edge,,302.201,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,6,result_bounded_negation,1613.931,,64.783,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,7,T1,291.775,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,7,T2,432.139,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,7,edge,,302.42,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,7,result_bounded_negation,1618.862,,72.489,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,8,T1,298.61,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,8,T2,429.438,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,8,edge,,292.279,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,8,result_bounded_negation,1622.061,,63.632,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,9,T1,297.212,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,9,T2,426.2,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,9,edge,,310.087,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,noopt,9,result_bounded_negation,1587.572,,68.421,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,1,T1,295.108,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,1,T2,435.811,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,1,edge,,298.61,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,1,result_bounded_negation,1590.38,,63.951,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,10,T1,311.528,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,10,T2,451.447,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,10,edge,,313.539,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,10,result_bounded_negation,1643.041,,65.246,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,11,T1,296.849,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,11,T2,440.56,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,11,edge,,297.762,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,11,result_bounded_negation,1641.357,,66.466,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,12,T1,298.165,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,12,T2,449.501,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,12,edge,,339.974,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,12,result_bounded_negation,1633.004,,76.11,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,13,T1,305.21,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,13,T2,423.82,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,13,edge,,318.992,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,13,result_bounded_negation,1669.881,,67.215,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,14,T1,303.122,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,14,T2,437.52,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [10:7-10:9]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,14,edge,,296.908,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [2:7-2:11]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,14,result_bounded_negation,1590.001,,63.798,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [14:7-14:30]
0_origineel_programma_bounded_negation_voor_herschrijving,0,5000nodes_0p02density,std,15,T1,291.51,,,499537,0_origineel_programma_bounded_negation_voor_herschrijving.dl [6:7-6:9]
